"# DISCLOSURE: Sentinel camera registry export, 58 cameras, generated 2026-09-25T11:41:59+00:00 from data/sentinel.db. The 30 sandbox cameras (feed_kind=sandbox) are the organisers' catalogue; their departments and coordinates are seeded demonstration assignments (data/camera_seed.csv), not official data. The 28 local feeds (feed_kind=local-stock) are stock traffic footage published by a local mediamtx server at seeded coordinates with seeded departments (data/local_feeds.csv); they are not sandbox cameras and were not filmed by the team. No stream credential is stored or exported; sandbox stream URLs are built at run time from environment variables. Health is omitted (see gap-analysis-report.html). Delete this line before re-importing through POST /api/cameras/import."
camera_id,feed_kind,department,location_name,lat,lon,bearing_deg,fov_deg,range_m,ownership,transport,fps_tier,codec,width,height,declared_fps,rtsp_url_template,hls_url,source,notes
cam01,sandbox,Police,01 Chiman bhai Bridge,23.0512,72.556,,,,government,rtsp,registered,h264,1920,1080,30.0,,,catalogue,
cam02,sandbox,Municipal,02 Janpath,23.0225,72.5714,,,,government,rtsp,registered,h264,1920,1080,30.0,,,catalogue,
cam03,sandbox,Health,03 O.N.G.C. Office,23.101,72.594,,,,government,rtsp,registered,h264,1280,720,30.0,,,catalogue,
cam04,sandbox,Police,04 Paldi Circle,23.0117,72.5624,,,,government,rtsp,registered,h264,1920,1080,25.0,,,catalogue,
cam05,sandbox,Police,05 Visat teen Rasta,23.1128,72.5797,,,,government,rtsp,registered,h264,1920,1080,30.0,,,catalogue,
cam06,sandbox,GSRTC,06 Timbavadi gate-Junagadh,21.4922,70.453,,,,government,rtsp,active,hevc,1920,1080,,,,catalogue,
cam07,sandbox,Municipal,07 hero-showroom-gir-somnath,20.9159,70.3629,,,,government,rtsp,registered,h264,1920,1080,25.0,,,catalogue,
cam08,sandbox,Police,08 majewadi-gate-junagadh,21.533,70.465,,,,government,rtsp,registered,h264,1920,1080,25.0,,,catalogue,
cam09,sandbox,Police,09 new-bypass-near-by-circle-junagadh-2,21.548,70.489,,,,government,rtsp,active,h264,1920,1080,25.0,,,catalogue,
cam10,sandbox,Municipal,10 char-chowk-road-2-junagadh,21.525,70.458,,,,government,rtsp,registered,h264,1920,1080,25.0,,,catalogue,
cam11,sandbox,GSRTC,11 dolatpara-junagadh,21.559,70.476,,,,government,rtsp,registered,h264,1920,1080,25.0,,,catalogue,
cam12,sandbox,GSRTC,12 Tri Mandir Adalaj Tollnaka,23.1645,72.58,,,,government,rtsp,registered,hevc,1280,720,20.0,,,catalogue,
cam13,sandbox,Municipal,13 CN Vidhyalaya,23.0217,72.552,,,,government,rtsp,registered,h264,1920,1080,10.0,,,catalogue,
cam14,sandbox,Police,14 Delight RLVD,22.305,70.802,,,,government,rtsp,registered,h264,1920,1080,10.0,,,catalogue,
cam15,sandbox,Health,15 Suvidha park,23.045,72.529,,,,government,rtsp,registered,h264,1920,1080,10.0,,,catalogue,
cam16,sandbox,Police,16 Visat P2,23.116,72.581,,,,government,rtsp,registered,h264,1920,1080,10.0,,,catalogue,
cam17,sandbox,GSRTC,17 Rajkot Bus Port CCTV,22.3012,70.7936,,,,government,rtsp,registered,hevc,1920,1080,25.0,,,catalogue,
cam18,sandbox,Police,18 Rajkot CCTV,22.297,70.798,,,,government,rtsp,registered,hevc,1920,1080,25.0,,,catalogue,
cam19,sandbox,Panchayat,"19 KHAPARIA GRAM PANCHAYAT , TALUKA GANDEVI, DISTRICT NAVSARI",20.811,72.993,,,,government,rtsp,registered,h264,1280,720,25.0,,,catalogue,
cam20,sandbox,Panchayat,20 Mohanpura,22.268,70.758,,,,government,rtsp,registered,h264,1280,720,25.0,,,catalogue,
cam21,sandbox,Panchayat,23 Patan Dethali Char Rasta,23.781,72.19,,,,government,rtsp,registered,h264,1920,1080,25.0,,,catalogue,
cam22,sandbox,Police,28 BK Mervada tran Rasta,24.171,72.434,,,,government,rtsp,registered,hevc,1920,1080,25.0,,,catalogue,
cam23,sandbox,Panchayat,30 kheram,20.95,72.92,,,,government,rtsp,registered,h264,1280,720,25.0,,,catalogue,
cam24,sandbox,Panchayat,33 dehgam,23.171,72.818,,,,government,rtsp,registered,h264,960,576,12.0,,,catalogue,
cam25,sandbox,Panchayat,34 dhanori,20.742,72.935,,,,government,rtsp,registered,h264,1280,960,25.0,,,catalogue,
cam26,sandbox,Panchayat,35 TANKAL,20.746,73.062,,,,government,rtsp,active,hevc,2560,1440,15.0,,,catalogue,
cam27,sandbox,Municipal,36 bilimora,20.769,72.965,,,,government,rtsp,active,h264,1280,960,25.0,,,catalogue,
cam28,sandbox,Health,37 bilimora,20.772,72.97,,,,government,rtsp,active,h264,1280,960,25.0,,,catalogue,
cam29,sandbox,Municipal,38 bilimora,20.766,72.961,,,,government,rtsp,registered,h264,1280,960,25.0,,,catalogue,
cam30,sandbox,Police,Gandhidham Rambaugh p2,23.078,70.133,,,,government,rtsp,registered,h264,1920,1080,25.0,,,catalogue,
local01,local-stock,Police,"Sample feed 1 - Kh Rd gate (stock footage, seeded coordinates)",23.2156,72.6369,180.0,70.0,90.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local01,,manual,
local02,local-stock,Municipal,"Sample feed 2 - market junction (stock footage, seeded coordinates)",23.2225,72.6441,135.0,75.0,80.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local02,,manual,
local03,local-stock,GSRTC,"Sample feed 3 - highway approach (stock footage, seeded coordinates)",23.2288,72.6512,200.0,60.0,120.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local03,,manual,
local04,local-stock,Municipal,"Sample feed 4 - flyover lane (stock footage, seeded coordinates)",23.2101,72.6296,90.0,65.0,100.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local04,,manual,
local05,local-stock,Police,"Sample feed 5 - Infocity circle Gandhinagar (stock footage, seeded coordinates)",23.1936,72.6365,45.0,70.0,90.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local05,,manual,
local06,local-stock,Municipal,"Sample feed 6 - GIFT City main gate (stock footage, seeded coordinates)",23.1606,72.6843,300.0,75.0,90.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local06,,manual,
local07,local-stock,Police,"Sample feed 7 - Sargasan cross roads (stock footage, seeded coordinates)",23.1917,72.6208,10.0,70.0,100.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local07,,manual,
local08,local-stock,Panchayat,"Sample feed 8 - Pethapur circle (stock footage, seeded coordinates)",23.261,72.6795,250.0,65.0,80.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local08,,manual,
local09,local-stock,Police,"Sample feed 9 - Thaltej cross roads SG Highway (stock footage, seeded coordinates)",23.0496,72.5117,180.0,70.0,110.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local09,,manual,
local10,local-stock,Municipal,"Sample feed 10 - Sola bridge SG Highway (stock footage, seeded coordinates)",23.069,72.5195,0.0,60.0,120.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local10,,manual,
local11,local-stock,GSRTC,"Sample feed 11 - Gota cross roads (stock footage, seeded coordinates)",23.1015,72.5402,200.0,70.0,100.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local11,,manual,
local12,local-stock,Police,"Sample feed 12 - Iskcon cross roads (stock footage, seeded coordinates)",23.0265,72.5073,90.0,75.0,100.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local12,,manual,
local13,local-stock,Health,"Sample feed 13 - Prahlad Nagar junction (stock footage, seeded coordinates)",23.012,72.5108,320.0,65.0,80.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local13,,manual,
local14,local-stock,Police,"Sample feed 14 - Sarkhej cross roads (stock footage, seeded coordinates)",22.9918,72.4996,30.0,70.0,110.0,government,rtsp,registered,,,,,rtsp://127.0.0.1:8554/stream/local14,,manual,
